epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1783.28,1.5839,1.57551,1.45029,0.24907,0.34252,0.26428,0.15228,1.5177,2.32487,1.39963,0.00307,0.00307,0.00307
72,1808.35,1.57748,1.56505,1.41644,0.31385,0.34501,0.29381,0.154,1.62692,2.06365,1.43792,0.002971,0.002971,0.002971
73,1833.49,1.59502,1.60255,1.43762,0.33225,0.29502,0.29814,0.16328,1.51783,1.9548,1.40699,0.002872,0.002872,0.002872
74,1858.66,1.60115,1.63104,1.44084,0.37293,0.28776,0.30004,0.15813,1.59201,2.0218,1.394,0.002773,0.002773,0.002773
75,1883.9,1.55722,1.5983,1.40908,0.39673,0.3091,0.30047,0.16849,1.58017,2.29127,1.41535,0.002674,0.002674,0.002674
76,1908.97,1.61012,1.58158,1.43726,0.38876,0.40295,0.32346,0.15981,1.70724,1.82301,1.46099,0.002575,0.002575,0.002575
77,1933.98,1.51301,1.5585,1.39042,0.36338,0.36557,0.31283,0.15861,1.67283,1.90398,1.44324,0.002476,0.002476,0.002476
78,1958.87,1.55074,1.54541,1.41564,0.33597,0.25001,0.23139,0.12119,1.5952,2.34158,1.44046,0.002377,0.002377,0.002377
79,1983.9,1.5533,1.52421,1.42525,0.3593,0.3419,0.29734,0.1602,1.51408,1.9719,1.38249,0.002278,0.002278,0.002278
80,2008.82,1.59152,1.60037,1.45045,0.32657,0.37797,0.3227,0.17327,1.62135,1.7737,1.42996,0.002179,0.002179,0.002179
81,2033.92,1.54343,1.52159,1.38955,0.26894,0.32416,0.25801,0.13845,1.64366,2.13535,1.45809,0.00208,0.00208,0.00208
82,2058.95,1.54458,1.55762,1.40295,0.28933,0.35232,0.29183,0.162,1.528,1.97385,1.39037,0.001981,0.001981,0.001981
83,2083.82,1.54645,1.53924,1.39978,0.34019,0.37964,0.31597,0.17581,1.51904,1.7838,1.37799,0.001882,0.001882,0.001882
84,2108.79,1.55345,1.532,1.41843,0.28031,0.331,0.26149,0.14595,1.56593,2.12693,1.42617,0.001783,0.001783,0.001783
85,2133.83,1.5235,1.51633,1.40844,0.30356,0.34071,0.28234,0.15408,1.5973,2.04335,1.41883,0.001684,0.001684,0.001684
86,2158.85,1.56153,1.53545,1.42188,0.36544,0.32829,0.28188,0.15425,1.54752,2.07018,1.39241,0.001585,0.001585,0.001585
87,2183.78,1.52841,1.53375,1.403,0.31037,0.34309,0.29701,0.16648,1.51065,1.95671,1.37394,0.001486,0.001486,0.001486
88,2208.75,1.5444,1.52877,1.41806,0.32128,0.30594,0.24878,0.13276,1.67489,2.59864,1.49339,0.001387,0.001387,0.001387
89,2233.65,1.53506,1.49639,1.38637,0.29893,0.37074,0.299,0.16837,1.54962,1.86878,1.38392,0.001288,0.001288,0.001288
90,2258.63,1.53683,1.50561,1.39146,0.44148,0.30991,0.30688,0.17236,1.55412,1.94457,1.39837,0.001189,0.001189,0.001189
91,2284.22,1.30942,1.53088,1.32721,0.43271,0.38635,0.35184,0.2008,1.53,1.66123,1.37514,0.00109,0.00109,0.00109
92,2309.29,1.27684,1.25619,1.2698,0.41137,0.39766,0.37151,0.22034,1.41812,1.54483,1.31766,0.000991,0.000991,0.000991
93,2334.41,1.27846,1.25616,1.28456,0.44791,0.4445,0.3902,0.21876,1.47214,1.53522,1.34408,0.000892,0.000892,0.000892
94,2359.39,1.22915,1.18589,1.24165,0.41578,0.46608,0.39527,0.22567,1.47407,1.45657,1.32547,0.000793,0.000793,0.000793
95,2384.3,1.23281,1.18101,1.24651,0.43244,0.44872,0.39311,0.22575,1.42572,1.48573,1.31541,0.000694,0.000694,0.000694
96,2409.24,1.22135,1.15763,1.24852,0.35377,0.48301,0.37929,0.21252,1.48479,1.51443,1.3372,0.000595,0.000595,0.000595
97,2434.17,1.19695,1.15081,1.2287,0.37049,0.48104,0.38603,0.22701,1.43339,1.47204,1.31572,0.000496,0.000496,0.000496
98,2459.16,1.22295,1.11831,1.25466,0.38298,0.49136,0.39072,0.23097,1.43226,1.44589,1.31151,0.000397,0.000397,0.000397
99,2484.1,1.19759,1.13079,1.21643,0.39064,0.46494,0.39162,0.23319,1.37588,1.46668,1.29305,0.000298,0.000298,0.000298
100,2509.08,1.16327,1.09925,1.20834,0.41395,0.48211,0.40216,0.23828,1.36807,1.47553,1.29125,0.000199,0.000199,0.000199
