epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2903.06,1.35264,1.15849,1.16289,0.46121,0.46452,0.41235,0.24329,1.33287,1.52832,1.13053,0.004357,0.004357,0.004357
59,2953.04,1.31043,1.12745,1.12729,0.53983,0.41404,0.45816,0.2708,1.38009,1.46263,1.14669,0.004258,0.004258,0.004258
60,3003,1.3299,1.11256,1.14267,0.49839,0.41133,0.42498,0.2656,1.2671,1.48108,1.11867,0.004159,0.004159,0.004159
61,3052.97,1.34899,1.13927,1.15506,0.54203,0.35438,0.39775,0.25258,1.32448,1.63173,1.15251,0.00406,0.00406,0.00406
62,3103.08,1.32447,1.11694,1.13549,0.39608,0.42965,0.37931,0.23041,1.31233,1.69856,1.14371,0.003961,0.003961,0.003961
63,3153.15,1.33317,1.15472,1.1588,0.42085,0.39093,0.35855,0.21491,1.40234,1.73375,1.15664,0.003862,0.003862,0.003862
64,3203.32,1.32069,1.14222,1.16077,0.47572,0.40985,0.39577,0.23566,1.31947,1.58642,1.14024,0.003763,0.003763,0.003763
65,3253.66,1.30524,1.14442,1.13907,0.49059,0.41595,0.40413,0.23877,1.34021,1.57621,1.13229,0.003664,0.003664,0.003664
66,3303.77,1.30952,1.09751,1.14938,0.4944,0.38044,0.38869,0.23297,1.33638,1.69041,1.14498,0.003565,0.003565,0.003565
67,3353.77,1.29027,1.09983,1.1314,0.53255,0.41112,0.41818,0.25551,1.29645,1.4805,1.12633,0.003466,0.003466,0.003466
68,3403.92,1.31654,1.11442,1.14971,0.48912,0.43484,0.43888,0.26768,1.22372,1.48631,1.09524,0.003367,0.003367,0.003367
69,3454.01,1.29021,1.06995,1.1335,0.41975,0.42788,0.38671,0.23186,1.29016,1.73716,1.11055,0.003268,0.003268,0.003268
70,3504.14,1.30786,1.08607,1.14818,0.47003,0.43224,0.44121,0.27023,1.22857,1.46494,1.11488,0.003169,0.003169,0.003169
